編號,資料長度,來源MAC,目的地MAC,Eth類型,時間戳記,來源IP,目的地IP,來源端口,目的地端口,第三層協議,第四層協議,距離上一個封包的時間差(秒),1秒內取消驗證封包數,1秒內Data封包數,是否為Broadcast,是否為重傳封包,訊號強度差值,是否為dos
78,200,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.433992,52.36.23.153,10.30.1.140,443,49169,6,TCP,0.0,0,53,否,True,0,否
79,1003,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:40.435367,52.36.23.153,10.30.1.140,443,49169,6,TCP,0.001375,0,54,否,False,0,否
80,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:40.435409,10.30.1.140,52.36.23.153,49169,443,6,TCP,4.2e-05,0,55,否,False,0,否
81,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:40.445944,10.30.1.140,52.36.23.153,49169,443,6,TCP,0.010535,1,55,否,True,0,是
82,85,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:42.276410,20.196.225.137,10.30.1.140,443,65521,6,TCP,1.830466,0,1,否,False,0,否
83,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:42.276410,20.196.225.137,10.30.1.140,443,65521,6,TCP,0.0,0,2,否,False,0,否
84,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:42.276515,10.30.1.140,20.196.225.137,65521,443,6,TCP,0.000105,0,3,否,False,0,是
85,85,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:42.276591,10.30.1.140,20.196.225.137,65521,443,6,TCP,7.6e-05,0,4,否,True,0,是
86,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:42.276683,10.30.1.140,20.196.225.137,65521,443,6,TCP,9.2e-05,0,5,否,False,0,是
87,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:42.333955,20.196.225.137,10.30.1.140,443,65521,6,TCP,0.057272,1,5,否,False,0,否
88,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:42.333955,20.196.225.137,10.30.1.140,443,65521,6,TCP,0.0,2,5,否,True,0,否
